Title,Provider,Detail,Rating
Business Analysis & Process Management,Coursera Project Network,"Skills you'll gain: Business Analysis, Business Process Management",4.4
Build a free website with WordPress,Coursera Project Network,"Skills you'll gain: Creativity, Web Design, Web Development",4.4
Introduction to Microsoft Excel,Coursera Project Network,"Skills you'll gain: Data Analysis, Microsoft Excel, Data Management, Leadership and Management",4.6
English for Common Interactions in the Workplace: Basic Level,Pontificia Universidad CatÃ³lica de Chile,N/A,4.7
First Step Korean,Yonsei University,"Skills you'll gain: Culture, Writing",4.9
Investment Risk Management,Coursera Project Network,"Skills you'll gain: Leadership and Management, Risk Management",4.3
Creative Thinking: Techniques and Tools for Success,Imperial College London,"Skills you'll gain: Creativity, Problem Solving, Collaboration",4.7
English for Career Development,University of Pennsylvania,"Skills you'll gain: Business Communication, Human Resources, Human Resources Operations, Application Development, People Analysis",4.8
"Python for Data Science, AI & Development",IBM,"Skills you'll gain: Computer Programming, Data Analysis, Python Programming",4.6
Cybersecurity for Everyone,"University of Maryland, College Park","Skills you'll gain: Cyberattacks, Human Computer Interaction, Network Security, Security Engineering, Security Strategy, Computer Security Models, Leadership and Management, Risk Management, Software Security, Correlation And Dependence",4.7
Food & Beverage Management,UniversitÃ  Bocconi,"Skills you'll gain: Design and Product, Marketing, Business Analysis, Customer Analysis, Product Marketing, Product Strategy, Communication, Entrepreneurship, Leadership and Management, Marketing Management, Strategy",4.8
Financial Markets,Yale University,"Skills you'll gain: Finance, Risk Management, Banking, Behavioral Economics, Critical Thinking, Decision Making, Financial Analysis, Innovation, Regulations and Compliance",4.8
Humanities,PredictionX: Lost Without Longitude
Humanities,"PredictionX: Omens, Oracles & Prophecies"
Social Sciences,Systematic Approaches to Policy Design
Social Sciences,New Ideas for Nonprofit Leaders Webinar
Social Sciences,4P Model for Strategic Leadership Podcasts
Social Sciences,The Science of Corresponding with Busy People Webinar
Computer Science,CS50's Introduction to Programming with Scratch
Social Sciences,Global News & Technology Leadership in Challenging Times
Social Sciences,Our Information Emergency: Navigating the Media Environment in 2021
Computer Science,CS50's Introduction to Artificial Intelligence with Python
Computer Science,CS50 for Lawyers
Business,Negotiating Salary
Business,Resilient Leadership
Health & Medicine,Clinical Care for Autistic Adults
Social Sciences,A Darkening Horizon: Nuclear Dangers Around the World with Matthew Bunn
